id,client_id,name,platform,external_id,pipeline_type,description,environment,is_active,created_at,updated_at
b4c5d6e7-f809-446f-8091-a2b3c4d5e6f7,0a2d6d1e-4c3f-4d8a-9b0a-2d3b2f0a9c23,ADS Ingest,vendor_api,riverton-matillion-dev-ads-ingest,ingestion,Ingestion pipeline for dev workloads and monitoring needs.,dev,true,2025-12-02T00:00:00Z,2025-12-22T00:00:00Z
a3b4c5d6-e7f8-435e-7f80-91a2b3c4d5e6,0a2d6d1e-4c3f-4d8a-9b0a-2d3b2f0a9c23,KPI Dashboards,custom,riverton-looker-staging-kpi-dashboards,export,Export pipeline for staging workloads and monitoring needs.,staging,true,2025-10-25T00:00:00Z,2025-11-06T00:00:00Z
92a3b4c5-d6e7-424d-6e7f-8091a2b3c4d5,0a2d6d1e-4c3f-4d8a-9b0a-2d3b2f0a9c23,Sales Marts,dbt,riverton-dbt-prod-sales-marts,transform,Transform pipeline for prod workloads and monitoring needs.,prod,true,2025-09-29T00:00:00Z,2025-10-12T00:00:00Z
8192a3b4-c5d6-413c-5d6e-7f8091a2b3c4,0a2d6d1e-4c3f-4d8a-9b0a-2d3b2f0a9c23,Shopify Sync,vendor_api,riverton-fivetran-prod-shopify-sync,ingestion,Ingestion pipeline for prod workloads and monitoring needs.,prod,true,2025-09-07T00:00:00Z,2025-09-17T00:00:00Z
b4c5d6e7-f809-444f-8091-a2b3c4d5e6f7,1d2e3f4a-5b6c-4d7e-8f9a-0b1c2d3e4f67,Audience Dash,custom,oakridge-looker-prod-audience-dash,export,Export pipeline for prod workloads and monitoring needs.,prod,true,2026-01-31T00:00:00Z,2026-02-19T00:00:00Z
92a3b4c5-d6e7-422d-6e7f-8091a2b3c4d5,1d2e3f4a-5b6c-4d7e-8f9a-0b1c2d3e4f67,Content Marts,dbt,oakridge-dbt-prod-content-marts,transform,Transform pipeline for prod workloads and monitoring needs.,prod,true,2025-10-17T00:00:00Z,2025-10-27T00:00:00Z
a3b4c5d6-e7f8-433e-7f80-91a2b3c4d5e6,1d2e3f4a-5b6c-4d7e-8f9a-0b1c2d3e4f67,Publish Pipeline,airflow,oakridge-airflow-staging-publish-pipeline,export,Export pipeline for staging workloads and monitoring needs.,staging,true,2025-12-08T00:00:00Z,2025-12-22T00:00:00Z
8192a3b4-c5d6-411c-5d6e-7f8091a2b3c4,1d2e3f4a-5b6c-4d7e-8f9a-0b1c2d3e4f67,Social Ingest,vendor_api,oakridge-fivetran-prod-social-ingest,ingestion,Ingestion pipeline for prod workloads and monitoring needs.,prod,true,2025-09-11T00:00:00Z,2025-10-09T00:00:00Z
0f1e2d3c-4b5a-4978-8c9d-0e1f2a3b4c5d,2b5f2b7a-1c7d-4b4f-9d86-1f6d4c0f2c01,Daily OPS Orchestrate,airflow,nordwind-airflow-prod-daily-ops-orchestrate,healthcheck,Healthcheck pipeline for prod workloads and monitoring needs.,prod,true,2025-08-27T00:00:00Z,2025-09-13T00:00:00Z
1a2b3c4d-5e6f-4a7b-8c9d-0e1f2a3b4c6e,2b5f2b7a-1c7d-4b4f-9d86-1f6d4c0f2c01,Shipments Ingest,vendor_api,nordwind-glue-staging-shipments-ingest,ingestion,Ingestion pipeline for staging workloads and monitoring needs.,staging,true,2025-09-05T00:00:00Z,2025-09-15T00:00:00Z
